collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos,speed_x_area
2,6,30,1,13,4,1,1,1,0,1,1,9,0,7.0,-0.6427876096865393,-0.766044443118978,0.7818314824680298,0.6234898018587336,30
3,6,30,1,0,-1,1,1,1,0,2,1,1,0,7.0,-0.7933533402912349,-0.6087614290087209,0.43388373911755823,-0.900968867902419,30
2,6,30,1,13,4,1,1,1,0,1,1,1,0,7.0,-0.7372773368101239,-0.6755902076156604,0.9749279121818236,-0.22252093395631434,30
3,6,30,1,19,4,1,1,1,0,2,1,9,0,10.0,-0.9063077870366497,-0.42261826174069994,-2.4492935982947064e-16,1.0,30
3,6,30,1,13,4,7,1,2,0,1,1,9,0,7.0,-0.9990482215818578,-0.04361938736533613,-2.4492935982947064e-16,1.0,30
3,6,30,1,16,4,4,2,2,0,2,3,9,2,10.0,-0.22495105434386534,0.9743700647852351,-2.4492935982947064e-16,1.0,30
3,6,30,1,16,4,1,2,2,0,2,1,9,1,17.5,-0.4067366430757998,-0.9135454576426011,0.7818314824680298,0.6234898018587336,30
3,1,30,1,0,-1,4,1,2,0,2,1,9,0,5.0,-0.608761429008721,0.7933533402912349,0.43388373911755823,-0.900968867902419,30
3,6,30,1,0,-1,1,1,1,0,1,1,4,0,1.0,-0.7660444431189779,-0.6427876096865395,-0.7818314824680299,0.6234898018587334,30
2,6,30,1,13,4,1,1,1,0,2,1,1,0,3.5,-0.8012538126910608,0.598324600570659,-0.433883739117558,-0.9009688679024191,30
3,3,30,1,13,4,1,1,1,0,2,1,9,0,2.0,-0.6087614290087207,-0.7933533402912352,0.9749279121818236,-0.22252093395631434,30
3,6,30,1,19,4,4,1,1,0,2,1,1,0,7.0,-0.7009092642998508,0.7132504491541817,-0.433883739117558,-0.9009688679024191,30
3,6,30,2,13,4,1,1,1,0,3,2,9,0,3.6666666666666665,-0.9953961983671787,-0.09584575252022441,-2.4492935982947064e-16,1.0,60
3,3,70,2,0,-1,1,1,1,0,1,1,9,1,20.0,0.31730465640509214,-0.9483236552061993,-2.4492935982947064e-16,1.0,140
2,3,60,2,0,-1,1,1,1,0,2,1,5,5,24.5,-0.9238795325112868,-0.3826834323650895,0.7818314824680298,0.6234898018587336,120
3,6,30,1,17,2,1,1,1,0,2,2,9,0,8.0,-0.9978589232386036,0.06540312923014237,-2.4492935982947064e-16,1.0,30
3,6,30,2,19,4,1,1,1,0,2,1,9,0,5.0,-0.7518398074789773,-0.6593458151000691,0.7818314824680298,0.6234898018587336,60
2,6,30,1,13,4,1,1,1,0,2,1,1,0,6.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,30
3,6,20,1,13,4,1,1,1,0,2,1,1,0,7.0,0.8968727415326884,-0.44228869021900113,-0.7818314824680299,0.6234898018587334,20
3,2,30,1,13,4,1,1,1,0,2,1,9,9,1.5,-0.18223552549214703,-0.9832549075639546,-2.4492935982947064e-16,1.0,30
2,6,20,1,13,4,1,9,1,0,1,1,9,9,7.0,-0.8433914458128855,-0.5372996083468242,0.43388373911755823,-0.900968867902419,20
3,9,20,1,-1,2,1,1,1,0,2,1,3,9,2.0,0.06975647374412552,-0.9975640502598242,-0.9749279121818236,-0.2225209339563146,20
3,6,30,1,19,4,1,1,1,0,4,1,9,0,4.5,0.3826834323650899,-0.9238795325112867,0.7818314824680298,0.6234898018587336,30
3,2,30,1,0,4,1,1,1,0,2,1,3,1,3.5,-0.9575713608048145,-0.2881962681340891,-2.4492935982947064e-16,1.0,30
3,6,30,1,-1,9,1,1,1,0,1,1,9,9,7.0,0.013089595571344636,-0.999914327574007,-0.433883739117558,-0.9009688679024191,30
3,6,20,1,0,4,4,1,1,11,1,1,3,0,8.0,0.3826834323650898,0.9238795325112867,0.7818314824680298,0.6234898018587336,20
3,6,30,1,13,4,1,1,1,13,2,1,9,0,5.0,-0.8064446042674827,-0.5913096483635822,0.43388373911755823,-0.900968867902419,30
3,9,20,1,0,4,1,8,1,0,2,1,9,9,6.0,-0.7372773368101239,-0.6755902076156604,-0.7818314824680299,0.6234898018587334,20
2,6,30,1,0,-1,4,1,2,0,2,1,5,0,14.0,-0.8115739819650127,0.5842496656374337,-0.433883739117558,-0.9009688679024191,30
3,6,30,1,13,4,1,2,2,0,1,1,9,0,18.0,0.8314696123025451,-0.5555702330196023,0.9749279121818236,-0.22252093395631434,30
