collision_severity,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,time_sin,time_cos,day_sin,day_cos
3,6,60,2,13,4,1,1,1,0,2,1,1,0,6.0,-0.7071067811865475,-0.7071067811865477,-0.433883739117558,-0.9009688679024191
3,3,60,1,0,-1,1,1,1,0,1,1,9,0,24.0,0.8090169943749475,-0.587785252292473,0.4338837391175582,-0.900968867902419
3,6,60,2,0,-1,6,2,2,15,1,1,9,5,17.0,-0.9988483864849508,-0.0479781285213447,-0.7818314824680299,0.6234898018587334
3,6,60,2,0,-1,7,1,1,0,2,1,9,0,4.5,-0.4226182617407,0.9063077870366496,0.9749279121818236,-0.2225209339563143
3,6,30,1,13,4,1,1,1,0,1,1,9,0,5.0,-0.9304175679820246,-0.3665012267242972,0.4338837391175582,-0.900968867902419
3,6,20,1,0,-1,1,1,1,0,4,1,9,0,13.25,-0.9876883405951378,0.1564344650402306,-0.433883739117558,-0.9009688679024191
3,6,30,1,0,-1,1,1,1,0,2,1,9,0,4.5,-0.300705799504273,-0.9537169507482268,0.4338837391175582,-0.900968867902419
3,6,30,1,0,-1,6,1,1,0,2,2,8,0,5.5,0.8241261886220157,0.5664062369248328,0.7818314824680298,0.6234898018587336
3,6,30,1,0,-1,1,1,1,0,2,1,2,0,8.0,0.5699967625963032,-0.8216469379421636,-0.7818314824680299,0.6234898018587334
2,6,30,1,17,2,1,1,1,0,2,1,3,0,20.5,0.7372773368101241,-0.6755902076156602,-0.433883739117558,-0.9009688679024191
3,6,30,1,16,2,1,1,1,0,2,1,9,0,9.5,-0.4422886902190014,-0.8968727415326883,-0.7818314824680299,0.6234898018587334
3,6,30,2,13,4,1,1,1,0,1,1,19,0,3.0,-0.8681988144891424,-0.4962165036752081,0.4338837391175582,-0.900968867902419
3,6,30,1,16,2,4,5,2,0,2,1,9,0,6.5,-0.964787323828813,-0.2630312144579744,0.9749279121818236,-0.2225209339563143
3,6,30,1,18,4,1,1,1,0,2,1,3,0,7.0,-0.9762960071199334,-0.2164396139381028,-2.4492935982947064e-16,1.0
3,6,30,2,0,-1,1,1,2,0,1,1,11,0,-1.0,0.8433914458128858,-0.5372996083468236,0.9749279121818236,-0.2225209339563143
3,6,30,2,0,-1,1,1,1,0,2,3,9,0,11.0,-0.9914448613738104,-0.1305261922200516,-0.9749279121818236,-0.2225209339563146
3,6,60,2,0,-1,1,1,1,0,3,1,9,0,11.666666666666666,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191
3,6,60,2,0,-1,6,8,4,0,2,1,9,1,12.5,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336
2,6,30,1,16,4,1,1,2,0,2,1,9,0,11.0,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336
3,6,60,2,0,-1,1,1,1,0,2,1,1,0,2.5,0.6087614290087204,-0.7933533402912353,-0.433883739117558,-0.9009688679024191
