collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2022351236910,2022,351236910,2,2,1,1,81,11,3,0,0,0,0,0,9,8,E01013170,3,1,0,1,-1
2022361259511,2022,361259511,2,1,1,2,63,9,3,0,0,0,0,0,9,4,E01026725,3,1,0,1,-1
2022461146904,2022,461146904,3,1,1,1,21,5,3,0,0,0,0,0,9,8,E01024407,3,1,0,1,-1
2022501148904,2022,501148904,3,2,1,2,30,6,3,0,0,0,0,0,9,8,E01018855,3,1,0,1,-1
2022461176975,2022,461176975,1,2,1,-1,-1,-1,3,0,0,0,0,0,1,-1,-1,3,1,0,1,-1
2022061257467,2022,061257467,4,2,2,2,67,10,3,0,0,1,0,0,9,5,W01001932,3,1,0,1,-1
2022302202014,2022,302202014,1,2,1,1,86,11,3,0,0,0,0,0,9,8,E01019820,-1,0,0.13428,0.86572,-1
2022421211021,2022,421211021,2,2,2,2,15,3,3,0,0,1,0,0,9,4,E01003672,3,1,0,1,-1
202263A106622,2022,63A106622,1,1,1,1,63,9,3,0,0,0,0,0,9,6,W01000674,-1,0,0.17088,0.82912,-1
2022010388712,2022,010388712,1,6,2,2,37,7,3,0,0,0,0,0,10,-1,-1,-1,0,0,1,-1
2022010393118,2022,010393118,1,1,3,2,13,3,3,6,9,0,0,0,0,-1,-1,-1,0,0,1,-1
2022430041835,2022,430041835,2,1,1,1,56,9,3,0,0,0,0,0,19,9,E01028643,-1,0,0.0514,0.9486,-1
2022131240460,2022,131240460,2,2,2,2,17,4,3,0,0,2,0,0,9,8,E01011714,3,1,0,1,-1
2022320498086,2022,320498086,1,2,1,1,20,4,3,0,0,0,0,0,9,5,E01019501,-1,0,0.07435,0.92565,-1
2022991169364,2022,991169364,1,1,1,2,40,7,3,0,0,0,0,0,9,4,-1,3,1,0,1,-1
2022320045021,2022,320045021,1,1,3,1,61,9,3,8,5,0,0,0,0,6,E01026282,-1,0,0.05668,0.94332,-1
2022461198037,2022,461198037,2,1,1,1,57,9,2,0,0,0,0,0,1,7,E01024347,6,1,1,0,-1
2022010412023,2022,010412023,1,1,1,1,36,7,3,0,0,0,0,0,5,2,E01001316,-1,0,0,1,-1
2022320576553,2022,320576553,1,1,2,2,21,5,3,0,0,1,0,0,9,6,E01028205,-1,0,0.06788,0.93212,-1
2022552201105,2022,552201105,1,1,1,2,83,11,3,0,0,0,0,0,9,7,E01020405,-1,0,0.10088,0.89912,-1
2022052201473,2022,052201473,1,1,1,1,34,6,2,0,0,0,0,0,19,2,E01006709,-1,0,1,0,-1
2022351236812,2022,351236812,1,1,3,2,24,5,3,1,1,0,0,0,0,9,E01018008,3,1,0,1,-1
2022411163498,2022,411163498,1,1,1,1,29,6,3,0,0,0,0,0,3,6,E01023927,3,1,0,1,-1
2022010398698,2022,010398698,2,2,1,1,69,10,3,0,0,0,0,0,9,6,E01002555,-1,0,0,1,-1
2022302200025,2022,302200025,1,2,2,2,76,11,3,0,0,1,0,0,9,5,E01019605,-1,0,0.07568,0.92432,-1
2022371151508,2022,371151508,1,1,1,1,80,11,2,0,0,0,0,0,9,8,E01030065,7,1,1,0,-1
